Ligand,Source,SourceID,Affinity,TotalModes,SimScore,SMILES,MW,TPSA,HBD,HBA,RotB,LogP
mol_4343,PubChem,17993585,-7.172,9,0,[H]c1c([H])c(C([H])([H])[H])c2c(c1[H])C([H])([H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])N2[H],175.28,12.03,1,1,3,3.13
mol_927,PubChem,68132629,-7.128,9,17,[H]C1=C([H])[C@@]2(C([H])=C([H])N([H])N2[H])N([H])c2c([H])c([H])c([H])c([H])c21,185.23,36.09,3,3,0,1.44
mol_3660,PubChem,156179482,-7.098,9,22,[H]c1c([H])c(C#N)c2c(c1[H])N([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C2([H])[H],186.26,35.82,1,2,2,2.69
mol_3240,PubChem,84618808,-7.199,9,0,[H]c1c([H])c(C([H])([H])C([H])([H])[H])c2c(c1[H])C([H])([H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])N2[H],189.3,12.03,1,1,4,3.39
mol_2168,PubChem,12065662,-7.016,9,22,[H]c1oc([H])c(-c2c([H])c([H])c([H])c3c([H])c([H])c([H])c([H])c23)c1[H],194.23,13.14,0,1,1,4.1
mol_3471,PubChem,25323475,-7.186,9,17,[H]c1oc([C@]2(C([H])([H])[H])C(=O)N(N([H])[H])C(=O)N2[H])c([H])c1[H],195.18,88.57,2,4,3,-0.08
mol_215,PubChem,68223469,-7.245,9,11,[H]C1=C([H])N([H])[C@@]2(C([H])=C1[H])c1nc([H])c([H])c([H])c1C([H])=C([H])C2([H])[H],196.25,24.92,1,2,0,2.37
mol_2305,PubChem,173192460,-7.14,9,22,[H]C1=C(C([H])([H])[H])C([H])([H])c2c([H])c([H])c([H])c(-c3c([H])oc([H])c3[H])c21,196.25,13.14,0,1,2,3.91
mol_3261,PubChem,10149067,-7.158,9,0,[H]c1c([H])c([H])c2c3c(c([H])c([H])c2c1[H])C([H])([H])C([H])([H])[C@]([H])(C([H])([H])[H])N3[H],197.28,12.03,1,1,1,3.59
mol_1499,PubChem,139406722,-7.131,9,17,[H]C1=[N+]([H])[C@@]([H])(c2nc3c([H])c([H])c([H])c([H])c3c([H])c2[H])N([H])N1[H],199.24,50.92,3,3,1,-0.55
